mod_value: 1.5000000000000002, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 3.5, FP: 30, FN: 3, FPR: 0.016420361247947456, FNR: 0.0016666666666666668
mod_value: 1.5000000000000002, TT: 0, h: 4.0, FP: 21, FN: 12, FPR: 0.011608623548922056, FNR: 0.006666666666666667
mod_value: 1.5000000000000002, TT: 0, h: 4.5, FP: 19, FN: 21, FPR: 0.010567296996662959, FNR: 0.011666666666666667
mod_value: 1.5000000000000002, TT: 0, h: 5.0, FP: 16, FN: 36, FPR: 0.008988764044943821, FNR: 0.02
mod_value: 1.5000000000000002, TT: 0, h: 5.5, FP: 11, FN: 85, FPR: 0.006373117033603708, FNR: 0.04722222222222222
mod_value: 1.5000000000000002, TT: 0, h: 6.0, FP: 9, FN: 163, FPR: 0.0054678007290400975, FNR: 0.09055555555555556
mod_value: 1.5000000000000002, TT: 0, h: 6.5, FP: 6, FN: 289, FPR: 0.003955174686882004, FNR: 0.16055555555555556
mod_value: 1.5000000000000002, TT: 0, h: 7.0, FP: 2, FN: 448, FPR: 0.0014771048744460858, FNR: 0.24888888888888888
mod_value: 1.5000000000000002, TT: 0, h: 7.5, FP: 2, FN: 635, FPR: 0.001713796058269066, FNR: 0.3527777777777778
mod_value: 1.5000000000000002, TT: 0, h: 8.0, FP: 1, FN: 817, FPR: 0.0010162601626016261, FNR: 0.4538888888888889
{}


mod_value: 1.6000000000000003, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 3.5, FP: 30, FN: 0, FPR: 0.01639344262295082, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 4.0, FP: 21, FN: 0, FPR: 0.011532125205930808, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 4.5, FP: 19, FN: 0, FPR: 0.010445299615173173, FNR: 0.0
mod_value: 1.6000000000000003, TT: 0, h: 5.0, FP: 16, FN: 2, FPR: 0.008820286659316428, FNR: 0.0011111111111111111
mod_value: 1.6000000000000003, TT: 0, h: 5.5, FP: 11, FN: 9, FPR: 0.006104328523862375, FNR: 0.005
mod_value: 1.6000000000000003, TT: 0, h: 6.0, FP: 9, FN: 20, FPR: 0.005030743432084964, FNR: 0.011111111111111112
mod_value: 1.6000000000000003, TT: 0, h: 6.5, FP: 6, FN: 38, FPR: 0.003393665158371041, FNR: 0.021111111111111112
mod_value: 1.6000000000000003, TT: 0, h: 7.0, FP: 2, FN: 80, FPR: 0.0011614401858304297, FNR: 0.044444444444444446
mod_value: 1.6000000000000003, TT: 0, h: 7.5, FP: 2, FN: 144, FPR: 0.0012062726176115801, FNR: 0.08
