mod_value: 1.3, TT: 0, h: 3.5, FP: 30, FN: 440, FPR: 0.016666666666666666, FNR: 0.24444444444444444
mod_value: 1.3, TT: 0, h: 4.0, FP: 21, FN: 657, FPR: 0.011666666666666667, FNR: 0.365
mod_value: 1.3, TT: 0, h: 4.5, FP: 18, FN: 857, FPR: 0.01, FNR: 0.4761111111111111
mod_value: 1.3, TT: 0, h: 5.0, FP: 16, FN: 1074, FPR: 0.008888888888888889, FNR: 0.5966666666666667
mod_value: 1.3, TT: 0, h: 5.5, FP: 12, FN: 1202, FPR: 0.006666666666666667, FNR: 0.6677777777777778
mod_value: 1.3, TT: 0, h: 6.0, FP: 10, FN: 1305, FPR: 0.005555555555555556, FNR: 0.725
mod_value: 1.3, TT: 0, h: 6.5, FP: 8, FN: 1394, FPR: 0.0044444444444444444, FNR: 0.7744444444444445
mod_value: 1.3, TT: 0, h: 7.0, FP: 4, FN: 1453, FPR: 0.0022222222222222222, FNR: 0.8072222222222222
mod_value: 1.3, TT: 0, h: 7.5, FP: 3, FN: 1488, FPR: 0.0016666666666666668, FNR: 0.8266666666666667
mod_value: 1.3, TT: 0, h: 8.0, FP: 1, FN: 1523, FPR: 0.0005555555555555556, FNR: 0.8461111111111111


mod_value: 1.4, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 1.4, TT: 0, h: 1.5, FP: 144, FN: 1, FPR: 0.08, FNR: 0.0005555555555555556
mod_value: 1.4, TT: 0, h: 2.0, FP: 96, FN: 5, FPR: 0.05333333333333334, FNR: 0.002777777777777778
mod_value: 1.4, TT: 0, h: 2.5, FP: 59, FN: 11, FPR: 0.03277777777777778, FNR: 0.006111111111111111
mod_value: 1.4, TT: 0, h: 3.0, FP: 47, FN: 19, FPR: 0.026111111111111113, FNR: 0.010555555555555556
mod_value: 1.4, TT: 0, h: 3.5, FP: 30, FN: 47, FPR: 0.016666666666666666, FNR: 0.026111111111111113
mod_value: 1.4, TT: 0, h: 4.0, FP: 21, FN: 107, FPR: 0.011666666666666667, FNR: 0.059444444444444446
mod_value: 1.4, TT: 0, h: 4.5, FP: 18, FN: 214, FPR: 0.01, FNR: 0.11888888888888889
mod_value: 1.4, TT: 0, h: 5.0, FP: 16, FN: 358, FPR: 0.008888888888888889, FNR: 0.1988888888888889
mod_value: 1.4, TT: 0, h: 5.5, FP: 12, FN: 542, FPR: 0.006666666666666667, FNR: 0.3011111111111111
mod_value: 1.4, TT: 0, h: 6.0, FP: 10, FN: 749, FPR: 0.005555555555555556, FNR: 0.4161111111111111
mod_value: 1.4, TT: 0, h: 6.5, FP: 8, FN: 929, FPR: 0.0044444444444444444, FNR: 0.5161111111111111
mod_value: 1.4, TT: 0, h: 7.0, FP: 4, FN: 1087, FPR: 0.0022222222222222222, FNR: 0.6038888888888889
mod_value: 1.4, TT: 0, h: 7.5, FP: 3, FN: 1198, FPR: 0.0016666666666666668, FNR: 0.6655555555555556
mod_value: 1.4, TT: 0, h: 8.0, FP: 1, FN: 1284, FPR: 0.0005555555555555556, FNR: 0.7133333333333334


mod_value: 1.5, TT: 0, h: 1.0, FP: 398, FN: 0, FPR: 0.22111111111111112, FNR: 0.0
mod_value: 1.5, TT: 0, h: 1.5, FP: 144, FN: 0, FPR: 0.08, FNR: 0.0
mod_value: 1.5, TT: 0, h: 2.0, FP: 96, FN: 0, FPR: 0.05333333333333334, FNR: 0.0
mod_value: 1.5, TT: 0, h: 2.5, FP: 59, FN: 0, FPR: 0.03277777777777778, FNR: 0.0
mod_value: 1.5, TT: 0, h: 3.0, FP: 47, FN: 1, FPR: 0.026111111111111113, FNR: 0.0005555555555555556
mod_value: 1.5, TT: 0, h: 3.5, FP: 30, FN: 3, FPR: 0.016666666666666666, FNR: 0.0016666666666666668
mod_value: 1.5, TT: 0, h: 4.0, FP: 21, FN: 7, FPR: 0.011666666666666667, FNR: 0.0038888888888888888
mod_value: 1.5, TT: 0, h: 4.5, FP: 18, FN: 17, FPR: 0.01, FNR: 0.009444444444444445
mod_value: 1.5, TT: 0, h: 5.0, FP: 16, FN: 40, FPR: 0.008888888888888889, FNR: 0.022222222222222223
mod_value: 1.5, TT: 0, h: 5.5, FP: 12, FN: 88, FPR: 0.006666666666666667, FNR: 0.04888888888888889
mod_value: 1.5, TT: 0, h: 6.0, FP: 10, FN: 173, FPR: 0.005555555555555556, FNR: 0.0961111111111111
